affiliated_org,candidate_id,committee_id,committee_type,designation,name,org_type
ANDY BARR VICTORY COMMITTEE,H0KY06104,C00467571,H,P,"ANDY BARR FOR CONGRESS, INC.",
THOROUGHBRED PAC,H4KY01040,C00289983,Q,U,WHITFIELD FOR CONGRESS COMMITTEE,
FREEDOMWORKS VICTORY 2021,H2KY04121,C00509729,H,P,THOMAS MASSIE FOR CONGRESS,
SCALISE LEADERSHIP FUND,H0LA01087,C00394957,H,P,SCALISE FOR CONGRESS,
,H0LA01087,C00342790,H,P,FRIENDS OF STEVE SCALISE FOR CONGRESS,
FLEMING FOR LOUISIANA,H8LA04225,C00445015,H,A,FLEMING FOR CONGRESS,
BILL CASSIDY FOR US SENATE,H8LA00017,C00451807,H,A,BILL CASSIDY FOR CONGRESS,
AUSTIN INNOVATION 2017,H8LA02054,C00451336,H,P,RICHMOND FOR CONGRESS,
ALEXANDER AND REHBERG FOR CONGRESS,H2LA05084,C00376749,H,P,RODNEY ALEXANDER FOR CONGRESS INC.,
,H2ME02097,C00367821,H,P,MICHAUD FOR CONGRESS,
PINGREE VICTORY FUND,H8ME01120,C00433391,H,P,PINGREE FOR CONGRESS,
HOYER'S MAJORITY FUND,H2MD05155,C00140715,H,P,HOYER FOR CONGRESS,
NONE,H2MD02160,C00376673,H,P,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,
VAN HOLLEN VICTORY FUND,H2MD08126,C00366096,H,P,VAN HOLLEN FOR CONGRESS,
NONE,H6MD03292,C00415182,H,P,FRIENDS OF JOHN SARBANES,
NONE,H2MD04356,C00801290,H,P,DONNA EDWARDS 4 CONGRESS,
,H6MD04183,C00422964,H,P,DONNA EDWARDS FOR CONGRESS,
NONE,H8MD01094,C00435974,H,P,ANDY HARRIS FOR CONGRESS,
NONE,H6MD07160,C00310318,H,P,CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,
,H6MA07101,C00049148,H,A,MARKEY FOR UNITED STATES CONGRESS,
