chamber,icpsr,district,state,party,name,congress_id,NOMINATE_dim1,NOMINATE_dim2
House,20932,3,NM,100,"LUJÁN, Ben Ray",L000570,-0.368,0.015
House,21341,1,NM,100,"LUJAN GRISHAM, Michelle",L000580,-0.313,0.047
House,13035,13,NY,100,"RANGEL, Charles B.",R000053,-0.514,-0.341
House,15444,25,NY,100,"SLAUGHTER, Louise McIntosh",S000480,-0.465,-0.10400000000000001
House,15603,16,NY,100,"ENGEL, Eliot Lance",E000179,-0.40800000000000003,-0.093
House,15612,17,NY,100,"LOWEY, Nita M.",L000480,-0.389,-0.152
House,20129,3,NY,100,"ISRAEL, Steve",I000057,-0.334,-0.051000000000000004
House,20338,1,NY,100,"BISHOP, Timothy H.",B001242,-0.338,-0.05
House,20519,26,NY,100,"HIGGINS, Brian",H001038,-0.34800000000000003,-0.034
House,20733,9,NY,100,"CLARKE, Yvette Diane",C001067,-0.61,-0.233
House,20934,20,NY,100,"TONKO, Paul",T000469,-0.418,-0.26
House,20935,24,NY,100,"MAFFEI, Daniel B.",M001171,-0.19,-0.062
House,20957,21,NY,100,"OWENS, William",O000169,-0.182,0.40900000000000003
House,21101,23,NY,200,"REED, Thomas W. II",R000585,0.269,0.12
House,21154,11,NY,200,"GRIMM, Michael G.",G000569,0.219,0.136
House,21156,19,NY,200,"GIBSON, Christopher",G000564,0.203,-0.455
House,21157,22,NY,200,"HANNA, Richard",H001051,0.215,-0.145
House,21342,6,NY,100,"MENG, Grace",M001188,-0.379,-0.222
House,21343,8,NY,100,"JEFFRIES, Hakeem",J000294,-0.489,-0.088
House,21344,18,NY,100,"MALONEY, Sean Patrick",M001185,-0.23900000000000002,0.114
House,21345,27,NY,200,"COLLINS, Chris",C001092,0.357,0.23600000000000002
House,29134,15,NY,100,"SERRANO, José E.",S000248,-0.491,-0.377
House,29375,2,NY,200,"KING, Peter T.",K000210,0.259,-0.03
House,29377,10,NY,100,"NADLER, Jerrold Lewis",N000002,-0.508,-0.496
House,29378,7,NY,100,"VELÁZQUEZ, Nydia M.",V000081,-0.547,-0.34500000000000003
House,29379,12,NY,100,"MALONEY, Carolyn Bosher",M000087,-0.387,-0.28500000000000003
House,29744,4,NY,100,"McCARTHY, Carolyn",M000309,-0.294,-0.04
House,29776,5,NY,100,"MEEKS, Gregory W.",M001137,-0.41400000000000003,-0.07100000000000001
House,29925,14,NY,100,"CROWLEY, Joseph",C001038,-0.41200000000000003,-0.07
House,15092,6,NC,200,"COBLE, Howard",C000556,0.52,-0.081
House,15438,4,NC,100,"PRICE, David Eugene",P000523,-0.343,-0.03
House,20340,1,NC,100,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",B001251,-0.404,0.184
House,20521,5,NC,200,"FOXX, Virginia Ann",F000450,0.625,0.164
House,20522,10,NC,200,"McHENRY, Patrick T.",M001156,0.53,0.128
House,21159,2,NC,200,"ELLMERS, Renee",E000291,0.406,0.338
House,21346,8,NC,200,"HUDSON, Richard",H001067,0.532,0.163
House,21347,9,NC,200,"PITTENGER, Robert",P000606,0.561,0.333
House,21348,11,NC,200,"MEADOWS, Mark",M001187,0.605,-0.201
House,21349,13,NC,200,"HOLDING, George E.B.",H001065,0.604,0.165
House,29383,12,NC,100,"WATT, Melvin L.",W000207,-0.526,-0.155
House,29546,3,NC,200,"JONES, Walter Beaman, Jr.",J000255,0.244,-0.362
House,29746,7,NC,100,"McINTYRE, Mike",M000485,-0.148,0.56
House,21350,1,ND,200,"CRAMER, Kevin",C001096,0.399,0.392
House,15029,9,OH,100,"KAPTUR, Marcia Carolyn (Marcy)",K000009,-0.34800000000000003,0.115
House,20130,12,OH,200,"TIBERI, Patrick (Pat)",T000462,0.386,-0.026000000000000002
House,20342,10,OH,200,"TURNER, Michael R.",T000463,0.274,0.222
House,20343,13,OH,100,"RYAN, Timothy J.",R000577,-0.402,0.20800000000000002
House,20738,4,OH,200,"JORDAN, Jim",J000289,0.717,-0.2
House,20755,5,OH,200,"LATTA, Robert E.",L000566,0.511,0.28200000000000003
House,20941,11,OH,100,"FUDGE, Marcia L.",F000455,-0.581,0.14
House,21162,6,OH,200,"JOHNSON, Bill",J000292,0.425,0.273
House,21163,15,OH,200,"STIVERS, Steve",S001187,0.30000000000000004,0.269
House,21164,16,OH,200,"RENACCI, Jim",R000586,0.387,0.14300000000000002
House,21165,7,OH,200,"GIBBS, Bob",G000563,0.484,0.28400000000000003
House,21351,2,OH,200,"WENSTRUP, Brad",W000815,0.527,0.255
House,21352,3,OH,100,"BEATTY, Joyce",B001281,-0.438,0.04
House,21353,14,OH,200,"JOYCE, David",J000295,0.261,0.275
House,29137,8,OH,200,"BOEHNER, John Andrew",B000589,0.513,0.04
House,29550,1,OH,200,"CHABOT, Steve",C000266,0.542,-0.137
House,20344,4,OK,200,"COLE, Tom",C001053,0.329,0.377
House,21166,5,OK,200,"LANKFORD, James",L000575,0.608,0.17200000000000001
House,21354,1,OK,200,"BRIDENSTINE, Jim",B001283,0.6890000000000001,-0.157
House,21355,2,OK,200,"MULLIN, Markwayne",M001190,0.545,0.246
House,29393,3,OK,200,"LUCAS, Frank D.",L000491,0.366,0.419
House,15410,4,OR,100,"DeFAZIO, Peter Anthony",D000191,-0.427,-0.002
House,20944,5,OR,100,"SCHRADER, Kurt",S001180,-0.182,0.054
House,21198,1,OR,100,"BONAMICI, Suzanne",B001278,-0.394,-0.41300000000000003
House,29588,3,OR,100,"BLUMENAUER, Earl",B000574,-0.427,-0.647
House,29932,2,OR,200,"WALDEN, Greg",W000791,0.333,-0.011
House,20134,9,PA,200,"SHUSTER, William (Bill)",S001154,0.374,0.323
House,20345,6,PA,200,"GERLACH, Jim",G000549,0.221,-0.107
House,20346,18,PA,200,"MURPHY, Timothy",M001151,0.258,0.198
House,20524,8,PA,200,"FITZPATRICK, Michael G.",F000451,0.202,-0.186
House,20525,13,PA,100,"SCHWARTZ, Allyson Y.",S001162,-0.343,-0.008
House,20526,15,PA,200,"DENT, Charles W.",D000604,0.244,-0.085
House,20946,5,PA,200,"THOMPSON, Glenn",T000467,0.323,0.384
House,21167,3,PA,200,"KELLY, Mike",K000376,0.372,0.4
House,21168,7,PA,200,"MEEHAN, Patrick",M001181,0.22,0.076
House,21170,10,PA,200,"MARINO, Thomas A.",M001179,0.352,0.47700000000000004
House,21171,11,PA,200,"BARLETTA, Lou",B001269,0.278,0.393
House,21356,4,PA,200,"PERRY, Scott",P000605,0.674,-0.451
House,21357,12,PA,200,"ROTHFUS, Keith",R000598,0.498,0.044
House,21358,17,PA,100,"CARTWRIGHT, Matt",C001090,-0.356,-0.015
House,29559,2,PA,100,"FATTAH, Chaka",F000043,-0.47200000000000003,-0.054
House,29561,14,PA,100,"DOYLE, Michael F.",D000482,-0.331,0.099
House,29752,16,PA,200,"PITTS, Joseph R.",P000373,0.538,0.012
House,29777,1,PA,100,"BRADY, Robert A.",B001227,-0.484,0.225
House,20136,2,RI,100,"LANGEVIN, James",L000559,-0.375,0.114
House,21172,1,RI,100,"CICILLINE, David N.",C001084,-0.389,-0.262
House,20138,2,SC,200,"WILSON, Addison Graves (Joe)",W000795,0.529,0.151
House,21174,3,SC,200,"DUNCAN, Jeff",D000615,0.7000000000000001,-0.097
House,21175,4,SC,200,"GOWDY, Trey",G000566,0.655,-0.002
House,21176,5,SC,200,"MULVANEY, Mick",M001182,0.75,-0.592
House,21359,7,SC,200,"RICE, Tom",R000597,0.558,-0.217
