icpsr,district,state,party,NOMINATE_dim1,NOMINATE_dim2,candidate_id,name,ici,ttl_receipts,comm_receipts,ttl_disb,comm_disb,start_cash,end_cash,cand_contrib,cand_loans,ind_contrib,district,state,other_comm_contrib,pty_contrib
20505,6,GA,200,0.644,-0.073,H4GA06087,"price, thomas edmunds",I,2341155.22,71144.43,1779245.68,0.0,1016398.22,1578307.76,0.0,0.0,1057380.26,GA,6,1201354.88,0.0
20506,3,GA,200,0.672,0.189,H4GA08067,"westmoreland, lynn a.",I,1067726.45,16841.77,1055937.98,0.0,412966.63,424755.1,0.0,0.0,440058.55,GA,3,608375.56,0.0
20507,12,GA,100,-0.119,0.46,H4GA12010,"barrow, john j.",I,2876917.75,0.0,2880362.64,0.0,70392.47,66947.58,0.0,0.0,1071380.33,GA,12,1794605.54,10798.98
20712,4,GA,100,-0.47,-0.01,H6GA04129,"johnson, henry c 'hank'",I,448223.02,0.0,433430.85,0.0,2850.08,17642.25,0.0,0.0,58923.87,GA,4,387800.0,0.0
20753,10,GA,200,0.913,-0.408,H8GA10049,"broun, paul collins",I,1351218.47,34248.83,1295800.79,0.0,100148.84,155566.52,0.0,0.0,909075.33,GA,10,397866.52,250.0
20962,14,GA,200,0.716,-0.002,H0GA09030,"graves, john thomas mr. jr.",I,1179676.68,13281.92,1126844.4,0.0,3114.52,55946.8,0.0,0.0,627142.48,GA,14,537355.66,800.0
21122,7,GA,200,0.593,-0.173,H0GA07133,"woodall, rob",I,407300.43,24354.59,426844.12,106000.0,75284.74,55741.05,0.0,0.0,123175.97,GA,7,259550.0,0.0
21123,8,GA,200,0.558,0.238,H0GA08099,"scott, james austin",I,1114640.95,46314.18,817934.63,0.0,10669.68,307376.0,0.0,0.0,545984.34,GA,8,520644.43,0.0
21323,9,GA,200,0.61,0.134,H2GA09150,"collins, douglas allen",C,780886.95,0.0,674338.52,0.0,0.0,106548.43,100.0,15000.0,497982.28,GA,9,265300.0,2500.0
29338,1,GA,200,0.54,0.302,H2GA01157,"kingston, jack rep.",I,1248412.38,0.0,1208213.63,0.0,947879.24,988077.99,0.0,0.0,407765.75,GA,1,815505.17,1000.0
29339,2,GA,100,-0.284,0.455,H2GA02031,"bishop, sanford d jr",I,1290956.0,0.0,1301603.64,0.0,20503.96,9856.32,0.0,40663.63,431551.95,GA,2,818240.42,500.0
21124,1,HI,100,-0.37,0.004,H2HI02110,"hanabusa, colleen wakako",I,1439038.46,148936.41,1448162.67,148936.41,64018.74,54894.53,0.0,0.0,802939.42,HI,1,486437.25,21.96
21324,2,HI,100,-0.274,-0.282,H2HI02508,"gabbard, tulsi",O,1828589.91,0.0,1516206.61,0.0,0.0,312383.3,19635.47,108000.0,1299287.68,HI,2,365777.57,201.15
21125,1,ID,200,0.735,-0.571,H0ID01253,"labrador, raul",I,830195.57,2146.36,619719.06,0.0,39995.56,250472.07,0.0,0.0,486658.51,ID,1,338233.7,823.26
29910,2,ID,200,0.301,0.29,H8ID02064,"simpson, michael k",I,1200025.64,0.0,1192871.28,350000.0,59336.22,66490.58,0.0,0.0,430528.5,ID,2,769497.14,0.0
20508,3,IL,100,-0.227,0.176,H4IL03077,"lipinski, daniel",I,825517.56,0.0,589524.78,0.0,555540.62,791533.4,0.0,0.0,287097.04,IL,3,531314.32,0.0
20715,6,IL,200,0.429,0.018,H6IL06117,"roskam, peter",I,3277931.9,74060.0,3406887.17,0.0,1172194.6,1043239.33,0.0,0.0,1586112.93,IL,6,1606913.38,0.0
20749,11,IL,100,-0.232,-0.214,H8IL14067,"foster, g. william (bill)",C,3540707.49,4000.0,3611720.92,0.0,80011.36,8997.93,0.0,579815.12,2520441.4,IL,11,421844.63,10001.11
20914,18,IL,200,0.311,0.185,H8IL18043,"schock, aaron jon mr.",I,3226793.0,1054623.42,2170938.49,6243.02,1042652.88,2098507.39,0.0,0.0,812509.21,IL,18,1270428.98,2975.0
20954,5,IL,100,-0.323,-0.261,H0IL05096,"quigley, mike",I,728590.98,0.0,703729.55,114000.0,348983.29,373844.72,0.0,0.0,378790.98,IL,5,347150.0,2650.0
21128,16,IL,200,0.234,0.382,H0IL11052,"kinzinger, adam",I,2034418.97,8840.5,1972829.81,0.0,38398.42,99987.58,0.0,0.0,1019221.8,IL,16,993724.61,1900.0
21129,14,IL,200,0.49,-0.034,H0IL14080,"hultgren, randy",I,1362709.72,39511.83,1350126.39,0.0,42785.26,55368.59,0.0,0.0,709618.14,IL,14,611247.75,0.0
